genes,pfam_annotation,pfam_code
STRG.1834,2OG-FeII_Oxy_3,PF13640
STRG.30164.3,2OG-FeII_Oxy_3,PF13640
STRG.7920,2OG-FeII_Oxy_3,PF13640
STRG.7616,2OG-FeII_Oxy_3,PF13640
STRG.25052,2OG-FeII_Oxy_4,PF13661
STRG.30896.2,2_5_RNA_ligase2,PF13563
STRG.27597,3-HAO,PF06052
STRG.27597.2,3-HAO,PF06052
STRG.27597.3,3-HAO,PF06052
STRG.34089,3Beta_HSD,PF01073
STRG.34088,3Beta_HSD,PF01073
STRG.27928,3Beta_HSD,PF01073
STRG.19453,3Beta_HSD,PF01073
STRG.33029,3Beta_HSD,PF01073
STRG.26895,3Beta_HSD,PF01073
STRG.26899,3Beta_HSD,PF01073
STRG.9824,3Beta_HSD,PF01073
STRG.6632,3Beta_HSD,PF01073
STRG.19453.1,3Beta_HSD,PF01073
STRG.9832,3Beta_HSD,PF01073
STRG.34089.2,3Beta_HSD,PF01073
STRG.39537,3Beta_HSD,PF01073
STRG.6992,3Beta_HSD,PF01073
STRG.7113,3Beta_HSD,PF01073
STRG.184,3Beta_HSD,PF01073
STRG.43544,3Beta_HSD,PF01073
STRG.14666,3Beta_HSD,PF01073
STRG.18393,3Beta_HSD,PF01073
STRG.23278,3Beta_HSD,PF01073
STRG.30636,3Beta_HSD,PF01073
STRG.27773,3Beta_HSD,PF01073
STRG.31956.2,3Beta_HSD,PF01073
STRG.31961.2,3Beta_HSD,PF01073
STRG.31956.1,3Beta_HSD,PF01073
STRG.31961.1,3Beta_HSD,PF01073
STRG.43293.1,3Beta_HSD,PF01073
STRG.43374,3Beta_HSD,PF01073
STRG.12214,3HCDH,PF00725
STRG.43566,3HCDH,PF00725
STRG.22790,3HCDH,PF00725
STRG.11937,3HCDH,PF00725
STRG.39073,3HCDH,PF00725
STRG.28903,3HCDH_N,PF02737
STRG.3567,40S_S4_C,PF16121
STRG.11873,4F5,PF04419
STRG.24359,4HBT,PF03061
STRG.25217,4HBT,PF03061
STRG.5519,4HBT,PF03061
STRG.43259,4HBT,PF03061
STRG.1150.1,4HBT_2,PF13279
STRG.1141,4HBT_2,PF13279
STRG.5643,5-FTHF_cyc-lig,PF01812
STRG.19330,5-FTHF_cyc-lig,PF01812
STRG.5643.2,5-FTHF_cyc-lig,PF01812
STRG.16845,53-BP1_Tudor,PF09038
STRG.12164,53-BP1_Tudor,PF09038
STRG.40558,5_nucleotid,PF05761
STRG.28722,5_nucleotid,PF05761
STRG.42508,5_nucleotid,PF05761
STRG.12013,5_nucleotid,PF05761
STRG.42508.2,5_nucleotid,PF05761
STRG.40558.2,5_nucleotid,PF05761
STRG.12212,5_nucleotid_C,PF02872
STRG.9223,5_nucleotid_C,PF02872
STRG.24521,60KD_IMP,PF02096
STRG.10411,60KD_IMP,PF02096
STRG.12405,6,PF2K                PF01591
STRG.2432,6,PF2K                PF01591
STRG.42150,6PGD,PF00393
STRG.26947,7tm_1,PF00001
STRG.31122,7tm_1,PF00001
STRG.23956,7tm_1,PF00001
STRG.12882,7tm_1,PF00001
STRG.14967,7tm_1,PF00001
STRG.10754,7tm_1,PF00001
STRG.25797,7tm_1,PF00001
STRG.17052,7tm_1,PF00001
STRG.27992,7tm_1,PF00001
STRG.28608,7tm_1,PF00001
STRG.28568,7tm_1,PF00001
STRG.3610,7tm_1,PF00001
STRG.13648,7tm_1,PF00001
STRG.16611,7tm_1,PF00001
STRG.35085,7tm_1,PF00001
STRG.39762,7tm_1,PF00001
STRG.22639,7tm_1,PF00001
STRG.17049,7tm_1,PF00001
STRG.33457,7tm_1,PF00001
STRG.28573,7tm_1,PF00001
STRG.17595,7tm_1,PF00001
STRG.834,7tm_1,PF00001
STRG.7543,7tm_1,PF00001
STRG.23332.1,7tm_1,PF00001
STRG.23332.2,7tm_1,PF00001
STRG.23743,7tm_1,PF00001
STRG.32051,7tm_1,PF00001
STRG.17597,7tm_1,PF00001
STRG.136,7tm_1,PF00001
STRG.26735,7tm_1,PF00001
STRG.27445,7tm_1,PF00001
STRG.27479.1,7tm_1,PF00001
STRG.27479.2,7tm_1,PF00001
STRG.42583,7tm_1,PF00001
STRG.11825,7tm_1,PF00001
STRG.34187,7tm_1,PF00001
STRG.35084,7tm_1,PF00001
STRG.7765,7tm_1,PF00001
STRG.25577,7tm_1,PF00001
STRG.24147.1,7tm_1,PF00001
STRG.10969,7tm_1,PF00001
STRG.16840,7tm_1,PF00001
STRG.34186,7tm_1,PF00001
STRG.1702,7tm_1,PF00001
STRG.25097,7tm_1,PF00001
STRG.25098,7tm_1,PF00001
STRG.21652,7tm_1,PF00001
STRG.24190,7tm_1,PF00001
STRG.9980,7tm_1,PF00001
STRG.23333,7tm_1,PF00001
STRG.7435,7tm_1,PF00001
STRG.38863,7tm_1,PF00001
STRG.23337,7tm_1,PF00001
STRG.39298,7tm_1,PF00001
STRG.41511,7tm_1,PF00001
STRG.9983,7tm_1,PF00001
STRG.262,7tm_1,PF00001
STRG.26655,7tm_1,PF00001
STRG.3997,7tm_1,PF00001
STRG.21450,7tm_1,PF00001
STRG.20830,7tm_1,PF00001
STRG.27450,7tm_1,PF00001
STRG.39932,7tm_1,PF00001
STRG.33984,7tm_1,PF00001
STRG.8895,7tm_1,PF00001
STRG.24718,7tm_1,PF00001
STRG.31121,7tm_1,PF00001
STRG.34921,7tm_1,PF00001
STRG.16519,7tm_1,PF00001
STRG.15292.2,7tm_1,PF00001
STRG.32518.3,7tm_1,PF00001
STRG.32518,7tm_1,PF00001
STRG.1062,7tm_1,PF00001
STRG.1063,7tm_1,PF00001
STRG.23336,7tm_1,PF00001
STRG.309,7tm_1,PF00001
STRG.310,7tm_1,PF00001
STRG.13472,7tm_1,PF00001
STRG.28312,7tm_1,PF00001
STRG.27451,7tm_1,PF00001
STRG.39971,7tm_1,PF00001
STRG.21550,7tm_1,PF00001
STRG.16295,7tm_1,PF00001
STRG.30833,7tm_1,PF00001
STRG.31417,7tm_1,PF00001
STRG.19521,7tm_1,PF00001
STRG.27990,7tm_1,PF00001
STRG.28163,7tm_1,PF00001
STRG.17077,7tm_1,PF00001
STRG.5715,7tm_1,PF00001
STRG.31100,7tm_1,PF00001
STRG.4393,7tm_1,PF00001
STRG.23061,7tm_1,PF00001
STRG.21493,7tm_1,PF00001
STRG.6649,7tm_1,PF00001
STRG.37542,7tm_1,PF00001
STRG.41230,7tm_1,PF00001
STRG.9372,7tm_1,PF00001
STRG.482,7tm_1,PF00001
STRG.263,7tm_1,PF00001
STRG.19522,7tm_1,PF00001
STRG.31293,7tm_1,PF00001
STRG.19970,7tm_1,PF00001
STRG.39760,7tm_1,PF00001
STRG.25490,7tm_1,PF00001
STRG.2116,7tm_1,PF00001
STRG.4187,7tm_1,PF00001
STRG.26853,7tm_1,PF00001
STRG.37828,7tm_1,PF00001
STRG.37819,7tm_1,PF00001
STRG.32768,7tm_1,PF00001
STRG.34827,7tm_1,PF00001
STRG.19913,7tm_1,PF00001
STRG.1197,7tm_1,PF00001
STRG.23335,7tm_1,PF00001
STRG.39085,7tm_1,PF00001
STRG.24204,7tm_1,PF00001
STRG.24247,7tm_1,PF00001
STRG.4392,7tm_1,PF00001
STRG.8568,7tm_1,PF00001
STRG.38074,7tm_1,PF00001
STRG.39313,7tm_1,PF00001
STRG.30753,7tm_1,PF00001
STRG.4454,7tm_1,PF00001
STRG.34243,7tm_1,PF00001
STRG.37405,7tm_1,PF00001
STRG.38441,7tm_1,PF00001
STRG.29906,7tm_1,PF00001
STRG.10950,7tm_1,PF00001
STRG.25492,7tm_1,PF00001
STRG.32721,7tm_1,PF00001
STRG.40041.1,7tm_1,PF00001
STRG.11637,7tm_1,PF00001
STRG.26787,7tm_1,PF00001
STRG.42243,7tm_1,PF00001
STRG.12533,7tm_1,PF00001
STRG.37826,7tm_1,PF00001
STRG.37650,7tm_1,PF00001
STRG.11379,7tm_1,PF00001
STRG.23379,7tm_1,PF00001
STRG.28569,7tm_1,PF00001
STRG.34637,7tm_1,PF00001
STRG.32750,7tm_1,PF00001
STRG.17603,7tm_1,PF00001
STRG.18843,7tm_1,PF00001
STRG.20827,7tm_1,PF00001
STRG.2117,7tm_1,PF00001
STRG.41608,7tm_1,PF00001
STRG.28446,7tm_1,PF00001
STRG.4193,7tm_1,PF00001
STRG.16760,7tm_1,PF00001
STRG.14966,7tm_1,PF00001
STRG.37902,7tm_1,PF00001
STRG.23265,7tm_1,PF00001
STRG.27641,7tm_1,PF00001
STRG.27676,7tm_1,PF00001
STRG.2125,7tm_1,PF00001
STRG.28572,7tm_1,PF00001
STRG.6749,7tm_1,PF00001
STRG.1905,7tm_1,PF00001
STRG.1906,7tm_1,PF00001
STRG.2398,7tm_1,PF00001
STRG.26653,7tm_1,PF00001
STRG.32940,7tm_1,PF00001
STRG.4884,7tm_1,PF00001
STRG.39220,7tm_1,PF00001
STRG.19024,7tm_1,PF00001
STRG.30739,7tm_1,PF00001
STRG.1819,7tm_1,PF00001
STRG.37988,7tm_1,PF00001
STRG.25093,7tm_1,PF00001
STRG.2945,7tm_1,PF00001
STRG.957,7tm_1,PF00001
STRG.13774,7tm_1,PF00001
STRG.23314,7tm_1,PF00001
STRG.26210,7tm_1,PF00001
STRG.37830,7tm_1,PF00001
STRG.39839.1,7tm_1,PF00001
STRG.21506,7tm_1,PF00001
STRG.27599,7tm_1,PF00001
STRG.4878,7tm_1,PF00001
STRG.24206,7tm_1,PF00001
STRG.12101,7tm_1,PF00001
STRG.39901,7tm_1,PF00001
STRG.8651,7tm_1,PF00001
STRG.26275,7tm_1,PF00001
STRG.21505,7tm_1,PF00001
STRG.23326,7tm_1,PF00001
STRG.25133,7tm_1,PF00001
STRG.1904,7tm_1,PF00001
STRG.39069,7tm_1,PF00001
STRG.9242,7tm_1,PF00001
STRG.7555,7tm_1,PF00001
STRG.20368,7tm_1,PF00001
STRG.33258,7tm_1,PF00001
STRG.11343,7tm_1,PF00001
STRG.42474,7tm_1,PF00001
STRG.16482,7tm_1,PF00001
STRG.26671,7tm_1,PF00001
STRG.18169.1,7tm_1,PF00001
STRG.18169.2,7tm_1,PF00001
STRG.6089,7tm_1,PF00001
STRG.18964,7tm_1,PF00001
STRG.18636,7tm_1,PF00001
STRG.24700,7tm_1,PF00001
STRG.5291,7tm_1,PF00001
STRG.16845.1,7tm_1,PF00001
STRG.1840.3,7tm_1,PF00001
STRG.24360,7tm_1,PF00001
STRG.8387.1,7tm_1,PF00001
STRG.6724,7tm_1,PF00001
STRG.42173,7tm_1,PF00001
STRG.13426,7tm_1,PF00001
STRG.17123,7tm_1,PF00001
STRG.4820,7tm_1,PF00001
STRG.5811,7tm_1,PF00001
STRG.26652,7tm_1,PF00001
STRG.12073,7tm_1,PF00001
STRG.18965,7tm_1,PF00001
STRG.18965.3,7tm_1,PF00001
STRG.12930,7tm_1,PF00001
STRG.40927,7tm_1,PF00001
STRG.17122,7tm_1,PF00001
STRG.33980,7tm_1,PF00001
STRG.2387,7tm_1,PF00001
STRG.43458,7tm_1,PF00001
STRG.35389,7tm_1,PF00001
STRG.9204,7tm_1,PF00001
STRG.25494,7tm_1,PF00001
STRG.30257,7tm_1,PF00001
STRG.6759,7tm_1,PF00001
STRG.22712,7tm_1,PF00001
STRG.21834,7tm_1,PF00001
STRG.40954,7tm_1,PF00001
STRG.9851,7tm_1,PF00001
STRG.12067,7tm_1,PF00001
STRG.32267,7tm_1,PF00001
STRG.14405,7tm_1,PF00001
STRG.20164,7tm_1,PF00001
STRG.6760,7tm_1,PF00001
STRG.32109,7tm_1,PF00001
STRG.15294,7tm_1,PF00001
STRG.483,7tm_1,PF00001
STRG.18827,7tm_1,PF00001
STRG.22190,7tm_1,PF00001
STRG.11432,7tm_1,PF00001
STRG.36870,7tm_1,PF00001
STRG.4596,7tm_1,PF00001
STRG.5081,7tm_1,PF00001
STRG.9415,7tm_1,PF00001
STRG.25477,7tm_1,PF00001
STRG.3763,7tm_1,PF00001
STRG.6658,7tm_1,PF00001
STRG.40616,7tm_1,PF00001
STRG.40187,7tm_1,PF00001
STRG.41022,7tm_1,PF00001
STRG.16196.1,7tm_1,PF00001
STRG.38175,7tm_1,PF00001
STRG.27675,7tm_1,PF00001
STRG.36723,7tm_1,PF00001
STRG.33326,7tm_1,PF00001
STRG.8055,7tm_1,PF00001
STRG.23835,7tm_1,PF00001
STRG.1051,7tm_1,PF00001
STRG.17372,7tm_1,PF00001
STRG.26254,7tm_1,PF00001
STRG.20089,7tm_1,PF00001
STRG.33324,7tm_1,PF00001
STRG.43373,7tm_1,PF00001
STRG.27168,7tm_1,PF00001
STRG.20092,7tm_1,PF00001
STRG.18741.1,7tm_1,PF00001
STRG.24203,7tm_1,PF00001
STRG.7436,7tm_1,PF00001
STRG.16194,7tm_1,PF00001
STRG.18199,7tm_1,PF00001
STRG.8554,7tm_1,PF00001
STRG.6260,7tm_1,PF00001
STRG.20311,7tm_1,PF00001
STRG.33027,7tm_1,PF00001
STRG.20316,7tm_1,PF00001
STRG.21503,7tm_1,PF00001
STRG.16193,7tm_1,PF00001
STRG.29288,7tm_1,PF00001
STRG.34682,7tm_1,PF00001
STRG.30841,7tm_1,PF00001
STRG.21406,7tm_1,PF00001
STRG.7123,7tm_1,PF00001
STRG.21596,7tm_1,PF00001
STRG.17260,7tm_1,PF00001
STRG.21594,7tm_1,PF00001
STRG.38174,7tm_1,PF00001
STRG.35646,7tm_1,PF00001
STRG.35647,7tm_1,PF00001
STRG.7348,7tm_1,PF00001
STRG.36265,7tm_1,PF00001
STRG.10949,7tm_1,PF00001
STRG.1195,7tm_1,PF00001
STRG.14969,7tm_1,PF00001
STRG.13778.1,7tm_1,PF00001
STRG.37678,7tm_1,PF00001
STRG.20603,7tm_1,PF00001
STRG.6954,7tm_1,PF00001
STRG.27402,7tm_1,PF00001
STRG.27403,7tm_1,PF00001
STRG.17421,7tm_1,PF00001
STRG.41835,7tm_1,PF00001
STRG.6750,7tm_1,PF00001
STRG.20318,7tm_1,PF00001
STRG.21982,7tm_1,PF00001
STRG.35422,7tm_1,PF00001
STRG.14266,7tm_1,PF00001
STRG.21131,7tm_1,PF00001
STRG.6723,7tm_1,PF00001
STRG.11355,7tm_1,PF00001
STRG.32901,7tm_1,PF00001
STRG.30740,7tm_1,PF00001
STRG.11046,7tm_1,PF00001
STRG.10370,7tm_1,PF00001
STRG.7787,7tm_1,PF00001
STRG.8502,7tm_1,PF00001
STRG.30842,7tm_1,PF00001
STRG.10679,7tm_1,PF00001
STRG.3099,7tm_1,PF00001
STRG.26263,7tm_1,PF00001
STRG.7622,7tm_1,PF00001
STRG.11045,7tm_1,PF00001
STRG.948,7tm_1,PF00001
STRG.24170,7tm_1,PF00001
STRG.1435,7tm_1,PF00001
STRG.8306,7tm_1,PF00001
STRG.13376,7tm_1,PF00001
STRG.41839,7tm_1,PF00001
STRG.17424,7tm_1,PF00001
STRG.33024.1,7tm_1,PF00001
STRG.29518,7tm_1,PF00001
STRG.23495,7tm_1,PF00001
STRG.17916.1,7tm_1,PF00001
STRG.17916.2,7tm_1,PF00001
STRG.15149,7tm_1,PF00001
STRG.42819,7tm_1,PF00001
STRG.25285,7tm_1,PF00001
STRG.41100,7tm_1,PF00001
STRG.40740,7tm_1,PF00001
STRG.4006,7tm_1,PF00001
STRG.8443,7tm_1,PF00001
STRG.4357,7tm_1,PF00001
STRG.8000,7tm_1,PF00001
STRG.12071,7tm_1,PF00001
STRG.5788,7tm_1,PF00001
STRG.10177,7tm_1,PF00001
STRG.29891,7tm_1,PF00001
STRG.12100.1,7tm_1,PF00001
STRG.12100.3,7tm_1,PF00001
STRG.42473,7tm_1,PF00001
STRG.6067,7tm_1,PF00001
STRG.21598,7tm_1,PF00001
STRG.11837,7tm_1,PF00001
STRG.26323,7tm_1,PF00001
STRG.20452,7tm_1,PF00001
STRG.25286,7tm_1,PF00001
STRG.14832,7tm_1,PF00001
STRG.27347,7tm_1,PF00001
STRG.16195,7tm_1,PF00001
STRG.23838,7tm_1,PF00001
STRG.32600,7tm_1,PF00001
STRG.8138,7tm_1,PF00001
STRG.6447,7tm_1,PF00001
STRG.14970,7tm_1,PF00001
STRG.30321,7tm_1,PF00001
STRG.6874,7tm_1,PF00001
STRG.10177.1,7tm_1,PF00001
STRG.19021.1,7tm_1,PF00001
STRG.18228,7tm_1,PF00001
STRG.36264,7tm_1,PF00001
STRG.10176,7tm_1,PF00001
STRG.1131,7tm_1,PF00001
STRG.6389,7tm_1,PF00001
STRG.6389.2,7tm_1,PF00001
STRG.6389.3,7tm_1,PF00001
STRG.6389.4,7tm_1,PF00001
STRG.16111,7tm_1,PF00001
STRG.34102,7tm_1,PF00001
STRG.2914,7tm_1,PF00001
STRG.3388,7tm_1,PF00001
STRG.41320,7tm_1,PF00001
STRG.21136,7tm_1,PF00001
STRG.10028,7tm_1,PF00001
STRG.41317,7tm_1,PF00001
STRG.23100,7tm_1,PF00001
STRG.34184,7tm_1,PF00001
STRG.21595,7tm_1,PF00001
STRG.4277,7tm_1,PF00001
STRG.32184,7tm_1,PF00001
STRG.8032,7tm_1,PF00001
STRG.14132,7tm_1,PF00001
STRG.24839,7tm_1,PF00001
STRG.42854,7tm_1,PF00001
STRG.13326,7tm_1,PF00001
STRG.21602,7tm_1,PF00001
STRG.14805,7tm_1,PF00001
STRG.22231,7tm_1,PF00001
STRG.30858,7tm_1,PF00001
STRG.4121,7tm_1,PF00001
STRG.30148,7tm_1,PF00001
STRG.24838,7tm_1,PF00001
STRG.42855,7tm_1,PF00001
STRG.13449,7tm_1,PF00001
STRG.15760,7tm_1,PF00001
STRG.19914,7tm_1,PF00001
STRG.15059,7tm_1,PF00001
STRG.29892,7tm_1,PF00001
STRG.16665,7tm_1,PF00001
STRG.29859,7tm_1,PF00001
STRG.15851,7tm_1,PF00001
STRG.6427,7tm_1,PF00001
STRG.15058,7tm_1,PF00001
STRG.10175,7tm_1,PF00001
STRG.22230,7tm_1,PF00001
STRG.2200,7tm_1,PF00001
STRG.20789,7tm_1,PF00001
STRG.17619.1,7tm_1,PF00001
STRG.17619.2,7tm_1,PF00001
STRG.42394,7tm_1,PF00001
STRG.5406,7tm_1,PF00001
STRG.1984,7tm_1,PF00001
STRG.39890,7tm_1,PF00001
STRG.25571,7tm_1,PF00001
STRG.11726,7tm_1,PF00001
STRG.37858,7tm_1,PF00001
STRG.18233,7tm_1,PF00001
STRG.1830,7tm_1,PF00001
STRG.8438,7tm_1,PF00001
STRG.42306,7tm_1,PF00001
STRG.42313,7tm_1,PF00001
STRG.40211,7tm_1,PF00001
STRG.11810.1,7tm_1,PF00001
STRG.4350,7tm_1,PF00001
STRG.752,7tm_1,PF00001
STRG.39160,7tm_1,PF00001
STRG.11508,7tm_1,PF00001
STRG.30096,7tm_1,PF00001
STRG.42390,7tm_1,PF00001
STRG.10417,7tm_1,PF00001
STRG.2601,7tm_1,PF00001
STRG.19225,7tm_1,PF00001
STRG.41867,7tm_1,PF00001
STRG.25570,7tm_1,PF00001
STRG.25680,7tm_1,PF00001
STRG.14739,7tm_1,PF00001
STRG.42907,7tm_1,PF00001
STRG.37860,7tm_1,PF00001
STRG.36856,7tm_1,PF00001
STRG.16101,7tm_1,PF00001
STRG.17697,7tm_1,PF00001
STRG.39090,7tm_1,PF00001
STRG.18200,7tm_1,PF00001
STRG.25333,7tm_1,PF00001
STRG.2597,7tm_1,PF00001
STRG.2593,7tm_1,PF00001
STRG.12592,7tm_1,PF00001
STRG.6065,7tm_1,PF00001
STRG.7631,7tm_1,PF00001
STRG.13851,7tm_1,PF00001
STRG.44205,7tm_1,PF00001
STRG.10846,7tm_1,PF00001
STRG.12636,7tm_1,PF00001
STRG.4483,7tm_1,PF00001
STRG.11658.1,7tm_1,PF00001
STRG.16584,7tm_1,PF00001
STRG.24200,7tm_1,PF00001
STRG.27349,7tm_1,PF00001
STRG.24542,7tm_1,PF00001
STRG.37520,7tm_1,PF00001
STRG.42382,7tm_1,PF00001
STRG.22603,7tm_1,PF00001
STRG.17695,7tm_1,PF00001
STRG.40042,7tm_1,PF00001
STRG.29733,7tm_1,PF00001
STRG.5792,7tm_1,PF00001
STRG.29649,7tm_1,PF00001
STRG.24588,7tm_1,PF00001
STRG.3361,7tm_1,PF00001
STRG.42880,7tm_1,PF00001
STRG.39159,7tm_1,PF00001
STRG.17702,7tm_1,PF00001
STRG.24635,7tm_1,PF00001
STRG.12590,7tm_1,PF00001
STRG.17250,7tm_1,PF00001
STRG.10585,7tm_1,PF00001
STRG.10586,7tm_1,PF00001
STRG.29434,7tm_1,PF00001
STRG.42364,7tm_1,PF00001
STRG.4009,7tm_1,PF00001
STRG.40369,7tm_1,PF00001
STRG.42744.1,7tm_1,PF00001
STRG.41845.1,7tm_1,PF00001
STRG.7630,7tm_1,PF00001
STRG.42881,7tm_1,PF00001
STRG.8848,7tm_1,PF00001
STRG.5913,7tm_1,PF00001
STRG.9855,7tm_1,PF00001
STRG.24541,7tm_1,PF00001
STRG.37519,7tm_1,PF00001
STRG.36644,7tm_1,PF00001
STRG.36645,7tm_1,PF00001
STRG.398,7tm_1,PF00001
STRG.4835,7tm_1,PF00001
STRG.17125,7tm_1,PF00001
STRG.12588,7tm_1,PF00001
STRG.13106,7tm_1,PF00001
STRG.22711,7tm_1,PF00001
STRG.40899,7tm_1,PF00001
STRG.39839.2,7tm_1,PF00001
STRG.27426,7tm_1,PF00001
STRG.25587,7tm_1,PF00001
STRG.36317,7tm_1,PF00001
STRG.43579,7tm_1,PF00001
STRG.78,7tm_1,PF00001
STRG.37184,7tm_1,PF00001
STRG.24187,7tm_1,PF00001
STRG.22710,7tm_1,PF00001
STRG.27530,7tm_1,PF00001
STRG.25104,7tm_1,PF00001
STRG.20094.1,7tm_1,PF00001
STRG.29742,7tm_1,PF00001
STRG.35453,7tm_1,PF00001
STRG.13975,7tm_1,PF00001
STRG.23210.1,7tm_1,PF00001
STRG.42693,7tm_1,PF00001
STRG.778,7tm_1,PF00001
STRG.43581.1,7tm_1,PF00001
STRG.11100,7tm_1,PF00001
STRG.37289,7tm_1,PF00001
STRG.15890,7tm_1,PF00001
STRG.30037,7tm_1,PF00001
STRG.2647,7tm_1,PF00001
STRG.481,7tm_1,PF00001
STRG.25105,7tm_1,PF00001
STRG.25106,7tm_1,PF00001
STRG.7434,7tm_1,PF00001
STRG.42395,7tm_1,PF00001
STRG.11168,7tm_1,PF00001
STRG.2868.4,7tm_1,PF00001
STRG.5795,7tm_1,PF00001
STRG.18236,7tm_1,PF00001
STRG.34611,7tm_1,PF00001
STRG.4361,7tm_1,PF00001
STRG.44204,7tm_1,PF00001
STRG.18749,7tm_1,PF00001
STRG.19320,7tm_1,PF00001
STRG.11157,7tm_1,PF00001
STRG.11158,7tm_1,PF00001
STRG.1132,7tm_1,PF00001
STRG.1133,7tm_1,PF00001
STRG.14203,7tm_1,PF00001
STRG.39021,7tm_1,PF00001
STRG.15768,7tm_1,PF00001
STRG.37179,7tm_1,PF00001
